Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude,geometry,Neighborhood
708,4038 W 15TH AVENUE,3/2/2020,2280000,7,2166,1930,90,4010.0,49.2588778,-123.1952478,POINT (-123.1952478 49.2588778),West Point Grey
709,3541 ADANAC STREET,3/18/2020,1455800,7,2081,2005,15,3574.0,49.2776499,-123.0272375,POINT (-123.0272375 49.2776499),Hastings-Sunrise
710,5036 GLADSTONE STREET,9/30/2019,1494800,6,2318,1990,29,3960.0,49.23864020000001,-123.0617777,POINT (-123.0617777 49.23864020000001),Kensington-Cedar Cottage
711,4626 WINDSOR STREET,3/17/2020,1333000,6,2035,1950,70,3531.0,49.2430938,-123.0837654,POINT (-123.0837654 49.2430938),Kensington-Cedar Cottage
712,5921 ONTARIO STREET,1/20/2020,2138000,0,2367,1992,28,3960.0,49.2310933,-123.1061061,POINT (-123.1061061 49.2310933),Oakridge
713,241 E 45TH AVENUE,5/24/2019,1795000,17,2892,1941,78,7262.0,49.2296098,-123.1006998,POINT (-123.1006998 49.2296098),Sunset
714,347 E 41ST AVENUE,9/30/2019,1140000,31,1996,1929,90,3657.39,49.23322599999999,-123.0984238,POINT (-123.0984238 49.23322599999999),Riley Park
715,7928 HUDSON STREET,4/27/2019,2000000,182,2399,1993,26,3983.1,49.2139068,-123.1338876,POINT (-123.1338876 49.2139068),Marpole
716,2835 ROSEMONT DRIVE,4/5/2019,1650000,134,2581,1964,55,5107.16,49.2181191,-123.0481802,POINT (-123.0481802 49.2181191),Killarney
717,8244 FRENCH STREET,7/12/2019,1620000,0,2394,1969,50,4026.0,49.21127,-123.1387498,POINT (-123.1387498 49.21127),Marpole
718,4649 ROSS STREET,4/15/2020,1950000,6,3151,1978,42,6039.0,49.2429407,-123.0817161,POINT (-123.0817161 49.2429407),Kensington-Cedar Cottage
719,2737 E 8TH AVENUE,4/15/2019,2047619,119,3620,2019,0,4026.0,49.263192,-123.0486906,POINT (-123.0486906 49.263192),Hastings-Sunrise
720,5318 PRINCE EDWARD STREET,9/3/2019,2699000,3,3223,2018,1,3696.0,49.2369423,-123.0967856,POINT (-123.0967856 49.2369423),Riley Park
721,4048 W 10TH AVENUE,6/1/2019,2650000,101,2452,2018,1,4026.0,49.2633684,-123.1953863,POINT (-123.1953863 49.2633684),West Point Grey
722,2545 E 43RD AVENUE,5/12/2019,1392000,84,2382,1979,40,4146.12,49.2311214,-123.0540357,POINT (-123.0540357 49.2311214),Victoria-Fraserview
723,1319 E 62ND AVENUE,2/17/2020,1228000,3,719,1953,67,3795.0,49.2139474,-123.0794987,POINT (-123.0794987 49.2139474),Sunset
724,2335 GRAVELEY STREET,9/16/2019,1275000,13,1699,1923,96,2880.0,49.2706001,-123.0571547,POINT (-123.0571547 49.2706001),Grandview-Woodland
725,7410 MAIN STREET,8/15/2019,1060000,4,1814,1950,69,3465.0,49.2174871,-123.1015682,POINT (-123.1015682 49.2174871),Sunset
726,4031 VICTORIA DRIVE,1/15/2020,1455000,4,1827,1901,119,3579.0,49.2491581,-123.0653655,POINT (-123.0653655 49.2491581),Kensington-Cedar Cottage
727,3483 TURNER STREET,4/2/2020,1238000,48,2250,1935,85,5115.0,49.279293,-123.0291639,POINT (-123.0291639 49.279293),Hastings-Sunrise
728,3620 W 2ND AVENUE,1/27/2020,2400000,14,1800,1927,93,3960.0,49.2701729,-123.1840722,POINT (-123.1840722 49.2701729),Kitsilano
729,4544 PRINCE ALBERT STREET,10/27/2019,2695000,1,2749,2019,0,3840.0,49.24415399999999,-123.0875924,POINT (-123.0875924 49.24415399999999),Kensington-Cedar Cottage
730,2831 W 12TH AVENUE,11/4/2019,1968000,20,1393,1967,52,4026.0,49.2616263,-123.1690493,POINT (-123.1690493 49.2616263),Kitsilano
731,3202 E 62ND AVENUE,7/3/2019,1650000,0,3262,1973,46,7000.0,49.2133178,-123.0368109,POINT (-123.0368109 49.2133178),Killarney
732,3623 W 38TH AVENUE,2/25/2020,2225000,6,3041,1988,32,4237.86,49.2377243,-123.1857002,POINT (-123.1857002 49.2377243),Dunbar-Southlands
733,2777 ROSEMONT DRIVE,7/8/2019,1325000,61,2459,1964,55,4869.0,49.21857379999999,-123.0488141,POINT (-123.0488141 49.21857379999999),Killarney
734,2451 MCGILL STREET,2/21/2020,1235000,9,2157,1959,61,4026.0,49.2889944,-123.0555401,POINT (-123.0555401 49.2889944),Hastings-Sunrise
735,6535 BROOKS STREET,1/2/2020,1890000,19,3095,1992,28,5174.0,49.2242279,-123.0355736,POINT (-123.0355736 49.2242279),Killarney
736,7750 HUDSON STREET,2/18/2020,1992000,5,2100,1990,30,3752.0,49.2150761,-123.1338514,POINT (-123.1338514 49.2150761),Marpole
737,2309 RUPERT STREET,8/16/2019,1170000,15,1857,1956,63,4026.0,49.2636949,-123.0341858,POINT (-123.0341858 49.2636949),Hastings-Sunrise
738,1391 E 61ST AVENUE,7/22/2019,1397500,96,2042,2010,9,3192.0,49.2148467,-123.0774373,POINT (-123.0774373 49.2148467),Sunset
739,836 W 22ND AVENUE,6/24/2019,2415000,80,1402,1926,93,5124.0,49.2514141,-123.1231273,POINT (-123.1231273 49.2514141),South Cambie
740,68 E 39TH AVENUE,9/12/2019,2989000,40,2935,2018,1,4224.0,49.2353304,-123.1042581,POINT (-123.1042581 49.2353304),Riley Park
741,946 W 14TH AVENUE,6/18/2019,2950000,62,3339,1912,107,6250.0,49.2584957,-123.1254734,POINT (-123.1254734 49.2584957),Fairview
742,1941 E 35TH AVENUE,2/14/2020,1352000,21,2155,1989,31,3844.0,49.23858629999999,-123.0665147,POINT (-123.0665147 49.23858629999999),Kensington-Cedar Cottage
743,3463 E 4TH AVENUE,5/1/2019,1500000,65,3025,1993,26,5069.24,49.26684359999999,-123.0294331,POINT (-123.0294331 49.26684359999999),Hastings-Sunrise
744,255 N KOOTENAY STREET,12/27/2019,1850000,37,2657,2015,5,3696.0,49.28731089999999,-123.0260395,POINT (-123.0260395 49.28731089999999),Hastings-Sunrise
745,3515 GLADSTONE STREET,9/25/2019,1674000,4,2438,1960,59,3956.0,49.251666,-123.0597658,POINT (-123.0597658 49.251666),Kensington-Cedar Cottage
746,2187 FRANKLIN STREET,1/21/2020,1260000,13,1950,1980,40,3267.0,49.2822362,-123.0600804,POINT (-123.0600804 49.2822362),Grandview-Woodland
747,3078 E 5TH AVENUE,9/16/2019,1480000,141,2417,1992,28,4026.0,49.26543530000001,-123.0396908,POINT (-123.0396908 49.26543530000001),Hastings-Sunrise
748,1955 W 42ND AVENUE,5/13/2020,2788000,5,2747,1994,26,4590.0,49.23375,-123.1506277,POINT (-123.1506277 49.23375),Kerrisdale
749,480 E 21ST AVENUE,7/4/2019,1850000,12,1831,1951,68,5063.0,49.2517954,-123.0948332,POINT (-123.0948332 49.2517954),Riley Park
750,1180 E 19TH AVENUE,9/30/2019,1635000,8,2287,1926,93,3444.0,49.2534091,-123.0801745,POINT (-123.0801745 49.2534091),Kensington-Cedar Cottage
751,1730 VICTORIA DRIVE,2/24/2020,1940000,17,2609,1909,111,3267.0,49.2690519,-123.0655193,POINT (-123.0655193 49.2690519),Grandview-Woodland
752,1130 W 29TH AVENUE,6/3/2019,2420000,10,2840,1925,94,5387.25,49.2452164,-123.1308941,POINT (-123.1308941 49.2452164),Shaughnessy
753,3123 W 16TH AVENUE,7/8/2019,1800000,34,1695,1953,66,4026.0,49.258078,-123.1748369,POINT (-123.1748369 49.258078),Kitsilano
754,885 E 26TH AVENUE,8/19/2019,1330000,0,1963,1914,105,3696.0,49.2477244,-123.0861441,POINT (-123.0861441 49.2477244),Kensington-Cedar Cottage
755,3425 ARCHIMEDES STREET,2/12/2020,1035000,8,2060,1947,73,3234.0,49.2351121,-123.0319544,POINT (-123.0319544 49.2351121),Renfrew-Collingwood
756,4758 KILLARNEY STREET,9/9/2019,1320000,6,1990,1977,42,3297.0,49.2412684,-123.0409558,POINT (-123.0409558 49.2412684),Renfrew-Collingwood
757,3968 W 13TH AVENUE,6/7/2019,2960000,0,2796,1926,93,6710.0,49.2606383,-123.1931113,POINT (-123.1931113 49.2606383),West Point Grey
758,4320 MILLER STREET,9/30/2019,785000,6,1201,1989,30,1764.0,49.2462658,-123.0688669,POINT (-123.0688669 49.2462658),Kensington-Cedar Cottage
759,371 E 16TH AVENUE,1/10/2019,1500000,274,2157,1926,93,4052.97,49.2567277,-123.0968243,POINT (-123.0968243 49.2567277),Mount Pleasant
760,2326 E GEORGIA STREET,10/21/2019,1100000,101,1920,1927,93,3531.0,49.2780724,-123.0572798,POINT (-123.0572798 49.2780724),Grandview-Woodland
761,3106 WINDSOR STREET,3/9/2020,1528000,9,2263,1954,66,3747.83,49.2567748,-123.083275,POINT (-123.083275 49.2567748),Mount Pleasant
762,5535 TRAFALGAR STREET,2/18/2020,2180000,14,2782,1937,83,3878.0,49.2361831,-123.1661637,POINT (-123.1661637 49.2361831),Arbutus Ridge
763,2210 E PENDER STREET,7/10/2019,1509000,2,1922,2005,14,3267.0,49.2800287,-123.0593717,POINT (-123.0593717 49.2800287),Grandview-Woodland
764,6892 RADISSON STREET,9/3/2019,950000,41,1850,1980,39,3534.0,49.2209593,-123.0243361,POINT (-123.0243361 49.2209593),Killarney
765,3296 W 15TH AVENUE,3/3/2020,2250000,18,2528,1947,73,4026.0,49.2585932,-123.1778673,POINT (-123.1778673 49.2585932),Kitsilano
766,2827 E 27TH AVENUE,4/11/2019,1625000,112,2548,1955,64,6105.7,49.2464023,-123.0467809,POINT (-123.0467809 49.2464023),Renfrew-Collingwood
767,1146 E 59TH AVENUE,10/9/2019,1260500,50,2386,1959,60,3854.4,49.2162119,-123.0825054,POINT (-123.0825054 49.2162119),Sunset
768,4333 ELGIN STREET,2/10/2020,1325000,23,1900,1910,110,3811.5,49.246239,-123.0830213,POINT (-123.0830213 49.246239),Kensington-Cedar Cottage
769,2506 GARDEN DRIVE,10/31/2019,1475000,176,1720,1946,74,4360.0,49.2620483,-123.0578347,POINT (-123.0578347 49.2620483),Kensington-Cedar Cottage
770,759 E 51ST AVENUE,10/22/2019,1625000,11,2348,2003,16,4365.0,49.2237685,-123.0890895,POINT (-123.0890895 49.2237685),Sunset
771,3403 CAROLINA STREET,5/11/2020,1044000,16,2120,1911,109,2792.7,49.2545292,-123.0922033,POINT (-123.0922033 49.2545292),Riley Park
772,2991 TURNER STREET,5/27/2019,2105000,97,3748,2019,0,4356.0,49.2793417,-123.0419154,POINT (-123.0419154 49.2793417),Hastings-Sunrise
773,2662 FRANKLIN STREET,1/28/2020,1471000,6,2620,1982,38,4026.0,49.28183629999999,-123.0504556,POINT (-123.0504556 49.28183629999999),Hastings-Sunrise
774,3215 GRANT STREET,3/19/2020,1420000,45,2474,1985,35,4191.0,49.2715841,-123.0360774,POINT (-123.0360774 49.2715841),Hastings-Sunrise
775,741 E 11TH AVENUE,5/28/2019,1651000,55,3777,1912,107,4026.0,49.26083819999999,-123.0881338,POINT (-123.0881338 49.26083819999999),Mount Pleasant
776,5379 SHERBROOKE STREET,3/24/2020,1400000,7,2309,1946,74,4054.0,49.2358658,-123.0814263,POINT (-123.0814263 49.2358658),Kensington-Cedar Cottage
777,171 E 28TH AVENUE,2/20/2020,1650171,4,2717,1910,110,3394.0,49.2461948,-123.1021027,POINT (-123.1021027 49.2461948),Riley Park
778,5195 SPENCER STREET,6/14/2019,1120000,115,1635,1947,73,4125.0,49.2374946,-123.039554,POINT (-123.039554 49.2374946),Renfrew-Collingwood
779,8149 MONTCALM STREET,1/6/2020,3000000,34,3365,2012,8,4014.45,49.2119514,-123.1359754,POINT (-123.1359754 49.2119514),Marpole
780,2327 E 28TH AVENUE,11/19/2019,1598000,41,1457,1945,75,6039.0,49.2460665,-123.0582236,POINT (-123.0582236 49.2460665),Kensington-Cedar Cottage
781,8032 SHAUGHNESSY STREET,11/1/2019,1590000,34,1823,1946,73,4088.18,49.212653,-123.1284236,POINT (-123.1284236 49.212653),Marpole
782,1665 E 58TH AVENUE,6/14/2019,1854000,94,2422,2002,17,4939.0,49.2174079,-123.072747,POINT (-123.072747 49.2174079),Victoria-Fraserview
783,3569 W 21ST AVENUE,10/8/2019,2345000,5,2511,1930,89,4026.0,49.253972,-123.183854,POINT (-123.183854 49.253972),Dunbar-Southlands
784,910 E 56TH AVENUE,11/12/2019,1695000,51,2230,2003,17,4429.6,49.2188385,-123.0862011,POINT (-123.0862011 49.2188385),Sunset
785,3455 WILLIAM STREET,12/17/2019,985000,8,680,1947,73,3547.5,49.2743411,-123.0295972,POINT (-123.0295972 49.2743411),Hastings-Sunrise
786,3226 GRANT STREET,11/12/2019,2142857,53,3623,2019,1,4191.0,49.27115670000001,-123.035815,POINT (-123.035815 49.27115670000001),Hastings-Sunrise
787,3544 QUEBEC STREET,9/9/2019,1630000,7,1860,1913,106,1772.8,49.2532985,-123.1025937,POINT (-123.1025937 49.2532985),Riley Park
788,3346 E 8TH AVENUE,8/26/2019,995000,2,1579,1948,71,4024.78,49.2627123,-123.032214,POINT (-123.032214 49.2627123),Hastings-Sunrise
789,1334 E 35TH AVENUE,3/2/2020,1300000,7,1718,1947,73,3657.0,49.2383366,-123.0783222,POINT (-123.0783222 49.2383366),Kensington-Cedar Cottage
790,3752 W 50TH AVENUE,2/18/2020,2480000,8,2628,1957,63,9141.0,49.2263165,-123.1876746,POINT (-123.1876746 49.2263165),Dunbar-Southlands
791,5612 OLYMPIC STREET,2/18/2020,2950000,69,3643,1930,90,5746.0,49.2355513,-123.1893452,POINT (-123.1893452 49.2355513),Dunbar-Southlands
792,4975 CHESTER STREET,8/21/2019,1620000,48,1991,1950,69,6044.64,49.2395316,-123.0894783,POINT (-123.0894783 49.2395316),Kensington-Cedar Cottage
793,3439 FRANKLIN STREET,11/18/2019,1200000,65,1597,1928,92,4026.0,49.28223879999999,-123.0298662,POINT (-123.0298662 49.28223879999999),Hastings-Sunrise
794,1163 W 64TH AVENUE,3/5/2020,1948000,10,2114,1994,26,3696.0,49.2132265,-123.132214,POINT (-123.132214 49.2132265),Marpole
795,2889 MCGILL STREET,3/17/2020,960000,50,800,1948,72,4026.0,49.2890157,-123.0446336,POINT (-123.0446336 49.2890157),Hastings-Sunrise
796,6936 CULLODEN STREET,4/17/2019,1563000,56,2251,2003,16,4092.0,49.2213181,-123.0785341,POINT (-123.0785341 49.2213181),Sunset
797,455 E 17TH AVENUE,3/11/2020,2720000,5,3223,2006,14,5977.0,49.2560008,-123.0951484,POINT (-123.0951484 49.2560008),Riley Park
798,4435 PRINCE ALBERT STREET,4/20/2020,1319000,7,1533,1910,110,3399.0,49.2451868,-123.0881779,POINT (-123.0881779 49.2451868),Kensington-Cedar Cottage
799,3791 W 41ST AVENUE,7/25/2019,2130000,6,3842,1982,37,5643.61,49.2350156,-123.1880799,POINT (-123.1880799 49.2350156),Dunbar-Southlands
800,2340 E 4TH AVENUE,3/3/2020,1555000,6,2336,1949,71,4026.0,49.2665976,-123.0574987,POINT (-123.0574987 49.2665976),Grandview-Woodland
801,225 E 58TH AVENUE,11/12/2019,1250000,8,1619,1960,59,3692.7,49.2178079,-123.1009913,POINT (-123.1009913 49.2178079),Sunset
802,2221 W 16TH AVENUE,7/16/2019,2265000,13,2730,1973,46,6250.0,49.2575841,-123.1560277,POINT (-123.1560277 49.2575841),Kitsilano
803,636 CASSIAR STREET,2/17/2020,1041000,3,2590,1914,106,4026.0,49.2784835,-123.0305768,POINT (-123.0305768 49.2784835),Hastings-Sunrise
804,5628 KILLARNEY STREET,4/8/2019,1176000,136,1581,1953,66,4071.87,49.2338043,-123.0456315,POINT (-123.0456315 49.2338043),Renfrew-Collingwood
805,3184 E 23RD AVENUE,11/27/2019,1280000,7,2359,1945,74,3960.0,49.2494424,-123.0372749,POINT (-123.0372749 49.2494424),Renfrew-Collingwood
806,3338 W 31ST AVENUE,7/22/2019,2350000,136,2000,1937,82,5340.35,49.24399210000001,-123.1794922,POINT (-123.1794922 49.24399210000001),Dunbar-Southlands
807,3151 EAST 7TH AVENUE,3/10/2020,1290000,6,2005,1958,62,4026.0,49.2640596,-123.0378501,POINT (-123.0378501 49.2640596),Hastings-Sunrise
808,3388 W 33RD AVENUE,7/25/2019,2050000,20,2197,1928,91,7012.5,49.2421314,-123.1802827,POINT (-123.1802827 49.2421314),Dunbar-Southlands
809,454 E 54TH AVENUE,7/12/2019,1542180,9,2460,1986,33,4026.0,49.2206654,-123.095656,POINT (-123.095656 49.2206654),Sunset
810,4782 BRUCE STREET,6/3/2019,2180000,7,3537,2019,0,4059.0,49.2417928,-123.0691934,POINT (-123.0691934 49.2417928),Kensington-Cedar Cottage
811,1576 E 62ND AVENUE,2/3/2020,1391000,8,2054,1954,66,5074.0,49.2135445,-123.0747735,POINT (-123.0747735 49.2135445),Victoria-Fraserview
812,3888 W 22ND AVENUE,9/6/2019,2910000,78,2485,1930,89,6041.48,49.2526702,-123.1904087,POINT (-123.1904087 49.2526702),Dunbar-Southlands
813,350 E 60TH AVENUE,10/23/2019,1638000,31,2013,2011,8,3551.22,49.2156123,-123.0990959,POINT (-123.0990959 49.2156123),Sunset
814,2336 W 20TH AVENUE,7/29/2019,2950000,32,4581,1985,34,6100.0,49.2542903,-123.1589153,POINT (-123.1589153 49.2542903),Arbutus Ridge
815,2271 E 44TH AVENUE,6/17/2019,1437500,36,2615,1971,48,3816.0,49.2305401,-123.0605722,POINT (-123.0605722 49.2305401),Victoria-Fraserview
816,1790 W 62 AVENUE,6/2/2019,2750000,175,3931,1987,32,5373.0,49.2148067,-123.1472229,POINT (-123.1472229 49.2148067),Marpole
817,3676 ST. CATHERINES STREET,5/25/2020,2356000,8,2400,1941,79,4200.0,49.2521089,-123.0854798,POINT (-123.0854798 49.2521089),Kensington-Cedar Cottage
818,3582 FRANKLIN STREET,2/22/2019,1750000,117,3453,2018,1,4026.0,49.2818663,-123.0263771,POINT (-123.0263771 49.2818663),Hastings-Sunrise
819,3661 CAMBRIDGE STREET,9/30/2019,1280000,7,1933,1943,76,4024.68,49.28700389999999,-123.0243174,POINT (-123.0243174 49.28700389999999),Hastings-Sunrise
820,1716 NASSAU DRIVE,10/7/2019,1237100,122,1917,1950,70,4274.0,49.2177523,-123.0706682,POINT (-123.0706682 49.2177523),Victoria-Fraserview
821,3508 W 17TH AVENUE,6/28/2019,2880000,110,2317,2016,3,3300.0,49.2574289,-123.1822895,POINT (-123.1822895 49.2574289),Dunbar-Southlands
822,3664 W 15TH AVENUE,4/8/2019,2345000,57,3249,1915,104,4026.99,49.2587476,-123.1854563,POINT (-123.1854563 49.2587476),West Point Grey
823,2938 CHARLES STREET,6/12/2019,2175000,126,3717,2019,0,4191.0,49.2730354,-123.0432079,POINT (-123.0432079 49.2730354),Hastings-Sunrise
824,5657 KERR STREET,6/27/2019,1359000,50,1942,1997,22,3450.0,49.2333778,-123.040589,POINT (-123.040589 49.2333778),Renfrew-Collingwood
825,6350 CHESTER STREET,5/16/2020,1330000,4,2100,1920,100,4026.0,49.2268644,-123.0889878,POINT (-123.0889878 49.2268644),Sunset
826,319 E 38TH AVENUE,5/13/2020,1585000,6,2399,1968,52,3936.0,49.2365073,-123.0989092,POINT (-123.0989092 49.2365073),Riley Park
827,3582 E 26TH AVENUE,7/17/2019,1650000,41,2034,2010,9,3630.0,49.2468551,-123.0265569,POINT (-123.0265569 49.2468551),Renfrew-Collingwood
828,1525 E 31ST AVENUE,1/26/2020,1200000,21,2094,1980,40,3354.42,49.2431488,-123.073138,POINT (-123.073138 49.2431488),Kensington-Cedar Cottage
829,7218 CARTIER STREET,9/30/2019,2779000,15,4122,1994,25,6875.0,49.2203261,-123.1373845,POINT (-123.1373845 49.2203261),Oakridge
830,6520 VINE STREET,5/6/2019,1798000,47,1867,1945,74,3453.0,49.2266928,-123.1597924,POINT (-123.1597924 49.2266928),Kerrisdale
831,3228 E 45TH AVENUE,12/3/2019,2270000,37,3669,2008,12,6236.79,49.2290641,-123.0367142,POINT (-123.0367142 49.2290641),Killarney
832,381 E 41ST AVENUE,9/30/2019,1000000,37,1814,1946,73,3650.79,49.2332589,-123.0976574,POINT (-123.0976574 49.2332589),Riley Park
833,2078 E 7TH AVENUE,9/9/2019,2688000,29,2750,1940,79,4026.0,49.2639333,-123.0625084,POINT (-123.0625084 49.2639333),Grandview-Woodland
834,8175 LAUREL STREET,1/10/2020,2700000,29,3615,1994,26,6031.08,49.21165000000001,-123.1263735,POINT (-123.1263735 49.21165000000001),Marpole
835,4450 GRANVILLE STREET,1/16/2020,2949900,18,2491,1946,74,10846.28,49.2459814,-123.1387092,POINT (-123.1387092 49.2459814),Shaughnessy
836,20 E 60TH AVENUE,2/6/2020,1290000,13,1625,1925,95,3330.0,49.2157298,-123.1055556,POINT (-123.1055556 49.2157298),Sunset
837,3405 W 23RD AVENUE,5/29/2019,2000000,131,1700,1925,94,3782.0,49.2520994,-123.180277,POINT (-123.180277 49.2520994),Dunbar-Southlands
838,2412 E 28TH AVENUE,8/7/2019,1058000,47,2136,1955,64,3630.0,49.2452242,-123.0558448,POINT (-123.0558448 49.2452242),Renfrew-Collingwood
839,6664 VICTORIA DRIVE,10/15/2019,1285000,29,2479,1972,47,3904.23,49.2234602,-123.0654903,POINT (-123.0654903 49.2234602),Victoria-Fraserview
840,6415 CHESTER STREET,9/30/2019,1350000,7,2106,1935,84,4026.0,49.2263227,-123.0897242,POINT (-123.0897242 49.2263227),Sunset
841,2964 W 28TH AVENUE,12/2/2019,2230000,41,301,1936,84,4290.0,49.2468252,-123.1719233,POINT (-123.1719233 49.2468252),Dunbar-Southlands
842,3500 WILLOW STREET,2/21/2020,2480000,3,2482,1911,109,2683.56,49.2541772,-123.1218667,POINT (-123.1218667 49.2541772),South Cambie
843,5866 JOYCE STREET,3/26/2020,1351000,4,2273,1980,40,3562.0,49.2305617,-123.0371086,POINT (-123.0371086 49.2305617),Killarney
844,3669 MAXWELL STREET,10/15/2019,1155000,5,1128,2012,7,1300.0,49.2518823,-123.0703817,POINT (-123.0703817 49.2518823),Kensington-Cedar Cottage
845,511 GARDEN DRIVE,1/28/2020,2189000,32,2221,2020,0,2873.0,49.28003690000001,-123.058131,POINT (-123.058131 49.28003690000001),Grandview-Woodland
846,645 E 58TH AVENUE,12/11/2019,1530000,1,2961,1975,44,5508.0,49.217445,-123.0921978,POINT (-123.0921978 49.217445),Sunset
847,8567 CORNISH STREET,7/22/2019,2301000,79,3092,1997,22,5162.0,49.2090241,-123.1425045,POINT (-123.1425045 49.2090241),Marpole
848,1878 STAINSBURY AVENUE,3/18/2019,940000,113,2066,1912,107,2884.0,49.2518659,-123.0671275,POINT (-123.0671275 49.2518659),Kensington-Cedar Cottage
849,3825 W 19TH AVENUE,8/19/2019,2188000,4,2401,1925,94,4026.0,49.2558066,-123.1888016,POINT (-123.1888016 49.2558066),Dunbar-Southlands
850,8549 OSLER STREET,1/6/2020,1557500,53,2030,1927,93,4026.0,49.2091053,-123.1319607,POINT (-123.1319607 49.2091053),Marpole
851,4018 FLEMING STREET,9/24/2019,1333000,36,1790,1914,105,3272.05,49.249385,-123.0722434,POINT (-123.0722434 49.249385),Kensington-Cedar Cottage
852,2131 FRASERVIEW DRIVE,6/10/2019,1392000,52,2815,1979,40,4869.84,49.2117006,-123.0635408,POINT (-123.0635408 49.2117006),Victoria-Fraserview
853,2123 E 1ST AVENUE,8/20/2019,1700000,191,2050,1922,98,4026.0,49.26974680000001,-123.0612864,POINT (-123.0612864 49.26974680000001),Grandview-Woodland
854,4289 ELGIN STREET,7/17/2019,1615000,4,2133,1980,39,3481.5,49.24667549999999,-123.0830683,POINT (-123.0830683 49.24667549999999),Kensington-Cedar Cottage
855,1635 E 57TH AVENUE,4/30/2020,1270000,3,1572,1953,67,4075.5,49.21832300000001,-123.0732341,POINT (-123.0732341 49.21832300000001),Victoria-Fraserview
856,4034 W 14TH AVENUE,2/18/2020,2750000,4,2949,1928,92,5368.0,49.2597268,-123.1951488,POINT (-123.1951488 49.2597268),West Point Grey
857,158 E 44TH AVENUE,7/16/2019,1452500,19,1993,1948,71,3894.4,49.2301103,-123.1025565,POINT (-123.1025565 49.2301103),Sunset
858,1132 E 49TH AVENUE,12/19/2019,1055000,14,1664,1945,75,3432.0,49.2251539,-123.0823678,POINT (-123.0823678 49.2251539),Sunset
859,2650 MCGILL STREET,9/20/2019,1090000,66,1566,1950,69,4014.0,49.2884537,-123.0502878,POINT (-123.0502878 49.2884537),Hastings-Sunrise
860,323 E WOODSTOCK AVENUE,1/15/2020,1582000,22,2135,1994,26,4125.0,49.2337966,-123.0989608,POINT (-123.0989608 49.2337966),Riley Park
861,2433 GALT STREET,7/5/2019,1385000,122,2541,1993,26,4026.0,49.242332,-123.0561143,POINT (-123.0561143 49.242332),Renfrew-Collingwood
862,1438 E 17TH AVENUE,1/30/2020,1611000,11,2938,1971,49,5911.0,49.25515009999999,-123.0747439,POINT (-123.0747439 49.25515009999999),Kensington-Cedar Cottage
863,778 W 69TH AVENUE,1/28/2020,1629000,13,2240,1975,45,3993.0,49.2091336,-123.1234454,POINT (-123.1234454 49.2091336),Marpole
864,1244 E KING EDWARD AVENUE,9/30/2019,1250000,7,1823,1913,106,4570.5,49.2483608,-123.0792344,POINT (-123.0792344 49.2483608),Kensington-Cedar Cottage
865,2552 E 2ND AVENUE,8/8/2019,2110000,5,3457,2019,0,4026.0,49.2682473,-123.0534004,POINT (-123.0534004 49.2682473),Hastings-Sunrise
866,1717 E 49TH AVENUE,7/22/2019,1725000,30,3136,1992,27,5254.5,49.2254462,-123.0710736,POINT (-123.0710736 49.2254462),Victoria-Fraserview
867,5845 CULLODEN STREET,5/27/2019,1300000,103,2388,1975,44,4035.9,49.2314223,-123.078817,POINT (-123.078817 49.2314223),Sunset
868,1404 PARKER STREET,5/23/2019,1350000,43,2324,2005,14,2542.0,49.27564040000001,-123.075705,POINT (-123.075705 49.27564040000001),Grandview-Woodland
869,2762 MCGILL STREET,6/3/2019,1199000,5,1819,1947,72,4019.83,49.28847649999999,-123.0478381,POINT (-123.0478381 49.28847649999999),Hastings-Sunrise
870,4812 DUMFRIES STREET,11/26/2019,2130000,21,3452,2012,7,4158.0,49.24139330000001,-123.0732659,POINT (-123.0732659 49.24139330000001),Kensington-Cedar Cottage
871,2262 E 44 TH AVENUE,7/22/2019,1185000,85,1224,1926,93,3816.12,49.2300962,-123.0607313,POINT (-123.0607313 49.2300962),Victoria-Fraserview
872,3658 E 48TH AVENUE,1/14/2020,1633000,7,2787,1971,49,6313.2,49.2249989,-123.0245941,POINT (-123.0245941 49.2249989),Killarney
873,660 E 52ND AVENUE,7/11/2019,2360000,225,3342,1980,40,8174.0,49.2224917,-123.0917962,POINT (-123.0917962 49.2224917),Sunset
874,2755 ALMA STREET,11/12/2019,1615000,2,1944,1928,91,3960.0,49.2620706,-123.1863915,POINT (-123.1863915 49.2620706),West Point Grey
875,2535 E 1ST AVENUE,2/3/2020,1275000,7,2003,1952,68,4500.0,49.2697955,-123.0535226,POINT (-123.0535226 49.2697955),Hastings-Sunrise
876,6151 ST. CATHERINES STREET,11/7/2019,1588008,5,2475,1969,50,4026.0,49.2286474,-123.0869378,POINT (-123.0869378 49.2286474),Sunset
877,3354 W 10TH AVENUE,10/8/2019,2255000,92,3128,1928,92,6466.0,49.2631463,-123.1789774,POINT (-123.1789774 49.2631463),Kitsilano
878,3636 W 11TH AVENUE,9/16/2019,2041000,0,2399,1973,46,4027.98,49.2623171,-123.1847736,POINT (-123.1847736 49.2623171),Kitsilano
879,826 NOOTKA STREET,9/3/2019,1155000,3,2082,1970,49,3435.0,49.2771489,-123.0410366,POINT (-123.0410366 49.2771489),Hastings-Sunrise
