neighbourhood,crime_type,year,count
Dunbar-Southlands,Break and Enter Commercial,2020,9
Dunbar-Southlands,Break and Enter Commercial,2021,7
Dunbar-Southlands,Break and Enter Commercial,2022,18
Dunbar-Southlands,Break and Enter Commercial,2023,8
Dunbar-Southlands,Break and Enter Commercial,2024,2
Dunbar-Southlands,Break and Enter Commercial,2025,1
Dunbar-Southlands,Break and Enter Residential/Other,2003,173
Dunbar-Southlands,Break and Enter Residential/Other,2004,189
Dunbar-Southlands,Break and Enter Residential/Other,2005,140
Dunbar-Southlands,Break and Enter Residential/Other,2006,162
Dunbar-Southlands,Break and Enter Residential/Other,2007,130
Dunbar-Southlands,Break and Enter Residential/Other,2008,97
Dunbar-Southlands,Break and Enter Residential/Other,2009,104
Dunbar-Southlands,Break and Enter Residential/Other,2010,84
Dunbar-Southlands,Break and Enter Residential/Other,2011,99
Dunbar-Southlands,Break and Enter Residential/Other,2012,127
Dunbar-Southlands,Break and Enter Residential/Other,2013,89
Dunbar-Southlands,Break and Enter Residential/Other,2014,139
Dunbar-Southlands,Break and Enter Residential/Other,2015,163
Dunbar-Southlands,Break and Enter Residential/Other,2016,94
Dunbar-Southlands,Break and Enter Residential/Other,2017,107
Dunbar-Southlands,Break and Enter Residential/Other,2018,106
Dunbar-Southlands,Break and Enter Residential/Other,2019,72
Dunbar-Southlands,Break and Enter Residential/Other,2020,90
Dunbar-Southlands,Break and Enter Residential/Other,2021,46
Dunbar-Southlands,Break and Enter Residential/Other,2022,31
Dunbar-Southlands,Break and Enter Residential/Other,2023,60
Dunbar-Southlands,Break and Enter Residential/Other,2024,24
Dunbar-Southlands,Break and Enter Residential/Other,2025,10
Dunbar-Southlands,Homicide,2014,1
Dunbar-Southlands,Mischief,2003,126
Dunbar-Southlands,Mischief,2004,172
Dunbar-Southlands,Mischief,2005,132
Dunbar-Southlands,Mischief,2006,106
Dunbar-Southlands,Mischief,2007,72
Dunbar-Southlands,Mischief,2008,96
Dunbar-Southlands,Mischief,2009,72
Dunbar-Southlands,Mischief,2010,65
Dunbar-Southlands,Mischief,2011,76
Dunbar-Southlands,Mischief,2012,85
Dunbar-Southlands,Mischief,2013,74
Dunbar-Southlands,Mischief,2014,76
Dunbar-Southlands,Mischief,2015,64
Dunbar-Southlands,Mischief,2016,53
Dunbar-Southlands,Mischief,2017,91
Dunbar-Southlands,Mischief,2018,81
Dunbar-Southlands,Mischief,2019,64
Dunbar-Southlands,Mischief,2020,68
Dunbar-Southlands,Mischief,2021,74
Dunbar-Southlands,Mischief,2022,43
Dunbar-Southlands,Mischief,2023,43
Dunbar-Southlands,Mischief,2024,52
Dunbar-Southlands,Mischief,2025,19
Dunbar-Southlands,Offence Against a Person,2003,18
Dunbar-Southlands,Offence Against a Person,2004,26
Dunbar-Southlands,Offence Against a Person,2005,27
Dunbar-Southlands,Offence Against a Person,2006,24
Dunbar-Southlands,Offence Against a Person,2007,24
Dunbar-Southlands,Offence Against a Person,2008,24
Dunbar-Southlands,Offence Against a Person,2009,22
Dunbar-Southlands,Offence Against a Person,2010,17
Dunbar-Southlands,Offence Against a Person,2011,9
Dunbar-Southlands,Offence Against a Person,2012,19
Dunbar-Southlands,Offence Against a Person,2013,16
Dunbar-Southlands,Offence Against a Person,2014,12
Dunbar-Southlands,Offence Against a Person,2015,23
Dunbar-Southlands,Offence Against a Person,2016,10
Dunbar-Southlands,Offence Against a Person,2017,15
Dunbar-Southlands,Offence Against a Person,2018,17
Dunbar-Southlands,Offence Against a Person,2019,16
Dunbar-Southlands,Offence Against a Person,2020,21
Dunbar-Southlands,Offence Against a Person,2021,23
Dunbar-Southlands,Offence Against a Person,2022,16
Dunbar-Southlands,Offence Against a Person,2023,35
Dunbar-Southlands,Offence Against a Person,2024,9
Dunbar-Southlands,Offence Against a Person,2025,12
Dunbar-Southlands,Other Theft,2003,77
Dunbar-Southlands,Other Theft,2004,82
Dunbar-Southlands,Other Theft,2005,62
Dunbar-Southlands,Other Theft,2006,62
Dunbar-Southlands,Other Theft,2007,67
Dunbar-Southlands,Other Theft,2008,43
Dunbar-Southlands,Other Theft,2009,52
Dunbar-Southlands,Other Theft,2010,58
Dunbar-Southlands,Other Theft,2011,59
Dunbar-Southlands,Other Theft,2012,66
Dunbar-Southlands,Other Theft,2013,62
Dunbar-Southlands,Other Theft,2014,59
Dunbar-Southlands,Other Theft,2015,70
Dunbar-Southlands,Other Theft,2016,58
Dunbar-Southlands,Other Theft,2017,65
Dunbar-Southlands,Other Theft,2018,59
Dunbar-Southlands,Other Theft,2019,82
Dunbar-Southlands,Other Theft,2020,94
Dunbar-Southlands,Other Theft,2021,58
Dunbar-Southlands,Other Theft,2022,79
Dunbar-Southlands,Other Theft,2023,108
